name,alignment,role_type,"description ",ru_name,ru_description
Flowergirl,good,Townsfolk,"Each night*, you learn if a Demon voted today.",Цветочница,
Dreamer,good,Townsfolk,"Each night, choose a player (not yourself or Travellers): you learn 1 good & 1 evil character, 1 of which is correct.",Сновидец,
Acrobat,good,Townsfolk,"Each night*, choose a player: if they are or become drunk or poisoned tonight, you die.",Акробат,
Alchemist,good,Townsfolk,"You have a Minion ability. When using this, the Storyteller may prompt you to choose differently.",Алхимик,
Grandmother,good,Townsfolk,"You start knowing a good player & their character. If the Demon kills them, you die too.",Бабушка,
Fisherman,good,Townsfolk,"Once per game, during the day, visit the Storyteller for some advice to help your team win.",Рыбак,
Choirboy,good,Townsfolk,"If the Demon kills the King, you learn which player is the Demon. [+the King]",Хорист,
Gossip,good,Townsfolk,"Each day, you may make a public statement. Tonight, if it was true, a player dies.",Сплетница,
Gambler,good,Townsfolk,"Each night*, choose a player & guess their character: if you guess wrong, you die.",Азартный игрок,
Atheist,good,Townsfolk,"The Storyteller can break the game rules, and if executed, good wins, even if you are dead. [No evil characters]",Атеист,
Empath,good,Townsfolk,"Each night, you learn how many of your 2 alive neighbors are evil.",Эмпат,
Chef,good,Townsfolk,You start knowing how many pairs of evil players there are.,Повар,
Farmer,good,Townsfolk,"When you die at night, an alive good player becomes a Farmer.",Фермер,
Chambermaid,good,Townsfolk,"Each night, choose 2 alive players (not yourself): you learn how many woke tonight due to their ability.",Горничная,
Fool,good,Townsfolk,"The 1st time you die, you don't.",Шут,
Banshee,good,Townsfolk,"If the Demon kills you, all players learn this. From now on, you may nominate twice per day and vote twice per nomination.",Банши,
General,good,Townsfolk,"Each night, you learn which alignment the Storyteller believes is winning: good, evil, or neither.",Генерал,
Courtier,good,Townsfolk,"Once per game, at night, choose a character: they are drunk for 3 nights & 3 days.",Придворный,
Exorcist,good,Townsfolk,"Each night*, choose a player (different to last night): the Demon, if chosen, learns who you are then doesn't wake tonight.",Экзорцист,
Cult Leader,good,Townsfolk,"Each night, you become the alignment of an alive neighbor. If all good players choose to join your cult, your team wins.",Лидер культа,
Cannibal,good,Townsfolk,"You have the ability of the recently killed executee. If they are evil, you are poisoned until a good player dies by execution.",Каннибал,
Innkeeper,good,Townsfolk,"Each night*, choose 2 players: they can't die tonight, but 1 is drunk until dusk.",Трактирщик,
Balloonist,good,Townsfolk,"Each night, you learn a player of a different character type than last night. [+0 or +1 Outsider]",Аэронавт,
Fortune Teller,good,Townsfolk,"Each night, choose 2 players: you learn if either is a Demon. There is a good player that registers as a Demon to you.",Гадалка,
Artist,good,Townsfolk,"Once per game, during the day, privately ask the Storyteller any yes/no question.",Художник,
Clockmaker,good,Townsfolk,You start knowing how many steps from the Demon to its nearest Minion.,Часовщик,
Huntsman,good,Townsfolk,"Once per game, at night, choose a living player: the Damsel, if chosen, becomes a not-in-play Townsfolk. [+the Damsel]",Егерь,
Juggler,good,Townsfolk,"On your 1st day, publicly guess up to 5 players' characters. That night, you learn how many you got correct.",Жонглёр,
King,good,Townsfolk,"Each night, if the dead equal or outnumber the living, you learn 1 alive character. The Demon knows you are the King.",Король,
Investigator,good,Townsfolk,You start knowing that 1 of 2 players is a particular Minion.,Сыщик,
Engineer,good,Townsfolk,"Once per game, at night, choose which Minions or which Demon is in play.",Инженер,
Knight,good,Townsfolk,You start knowing 2 players that are not the Demon.,Рыцарь,
Amnesiac,good,Townsfolk,"You do not know what your ability is. Each day, privately guess what it is: you learn how accurate you are.",Амнезиак,
Lycanthrope,good,Townsfolk,"Each night*, choose an alive player. If good, they die & the Demon doesn’t kill tonight. One good player registers as evil.",Оборотень,
Alsaahir,good,Townsfolk,"Each day, if you publicly guess which players are Minion(s) and which are Demon(s), good wins.",Альсахер,
Magician,good,Townsfolk,The Demon thinks you are a Minion. Minions think you are a Demon.,Фокусник,
Mathematician,good,Townsfolk,"Each night, you learn how many players' abilities worked abnormally (since dawn) due to another character's ability.",Математик,
Minstrel,good,Townsfolk,"When a Minion dies by execution, all other players (except Travellers) are drunk until dusk tomorrow.",Менестрель,
Librarian,good,Townsfolk,You start knowing that 1 of 2 players is a particular Outsider. (Or that zero are in play.),Библиотекарь,
Monk,good,Townsfolk,"Each night*, choose a player (not yourself): they are safe from the Demon tonight.",Монах,
Nightwatchman,good,Townsfolk,"Once per game, at night, choose a player: they learn you are the Nightwatchman.",Стражник,
Bounty Hunter,good,Townsfolk,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight. [1 Townsfolk is evil]",Охотник за головами,
Oracle,good,Townsfolk,"Each night*, you learn how many dead players are evil.",Пророк,
Noble,good,Townsfolk,"You start knowing 3 players, 1 and only 1 of which is evil.",Аристократ,
Pacifist,good,Townsfolk,Executed good players might not die.,Пацифист,
High Priestess,good,Townsfolk,"Each night, learn which player the Storyteller believes you should talk to most.",Верховная жрица,
Philosopher,good,Townsfolk,"Once per game, at night, choose a good character: gain that ability. If this character is in play, they are drunk.",Философ,
Pixie,good,Townsfolk,"You start knowing 1 in-play Townsfolk. If you were mad that you were this character, you gain their ability when they die.",Пикси,
Professor,good,Townsfolk,"Once per game, at night*, choose a dead player: if they are a Townsfolk, they are resurrected.",Профессор,
Ravenkeeper,good,Townsfolk,"If you die at night, you are woken to choose a player: you learn their character.",Смотритель воронов,
Mayor,good,Townsfolk,"If only 3 players live & no execution occurs, your team wins. If you die at night, another player might die instead.",Мэр,
Sage,good,Townsfolk,"If the Demon kills you, you learn that it is 1 of 2 players.",Мудрец,
Sailor,good,Townsfolk,"Each night, choose an alive player: either you or they are drunk until dusk. You can't die.",Моряк,
Savant,good,Townsfolk,"Each day, you may visit the Storyteller to learn 2 things in private: 1 is true & 1 is false.",Савант,
Shugenja,good,Townsfolk,"You start knowing if your closest evil player is clockwise or anti-clockwise. If equidistant, this info is arbitrary.",Сюгендзи,
Slayer,good,Townsfolk,"Once per game, during the day, publicly choose a player: if they are the Demon, they die.",Истребитель,
Soldier,good,Townsfolk,You are safe from the Demon.,Солдат,
Steward,good,Townsfolk,You start knowing 1 good player.,Управляющий,
Undertaker,good,Townsfolk,"Each night*, you learn which character died by execution today.",Гробовщик,
Poppy Grower,good,Townsfolk,"Minions & Demons do not know each other. If you die, they learn who each other are that night.",Дурманщик,
Washerwoman,good,Townsfolk,You start knowing that 1 of 2 players is a particular Townsfolk.,Прачка,
Barber,good,Outsider,"If you died today or tonight, the Demon may choose 2 players (not another Demon) to swap characters.",Парикмахер,
Preacher,good,Townsfolk,"Each night, choose a player: a Minion, if chosen, learns this. All chosen Minions have no ability.",Проповедник,
Damsel,good,Outsider,"All Minions know a Damsel is in play. If a Minion publicly guesses you (once), your team loses.",Дамочка,
Seamstress,good,Townsfolk,"Once per game, at night, choose 2 players (not yourself): you learn if they are the same alignment.",Швея,
Goon,good,Outsider,"Each night, the 1st player to choose you with their ability is drunk until dusk. You become their alignment.",Наёмник,
Drunk,good,Outsider,"You do not know you are the Drunk. You think you are a Townsfolk character, but you are not.",Пьяница,
Hatter,good,Outsider,"If you died today or tonight, the Minion & Demon players may choose new Minion & Demon characters to be.",Шляпник,
Butler,good,Outsider,"Each night, choose a player (not yourself): tomorrow, you may only vote if they are voting too.",Дворецкий,
Golem,good,Outsider,"You may only nominate once per game. When you do, if the nominee is not the Demon, they die.",Голем,
Town Crier,good,Townsfolk,"Each night*, you learn if a Minion nominated today.",Глашатай,
Tea Lady,good,Townsfolk,"If both your alive neighbors are good, they can't die.",Травница,
Heretic,good,Outsider,"Whoever wins, loses & whoever loses, wins, even if you are dead.",Еретик,
Moonchild,good,Outsider,"When you learn that you died, publicly choose 1 alive player. Tonight, if it was a good player, they die.",Лунное дитя,
